Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: f1 (pipeline: vanilla)
Standard Metric: bt_score

Results:
  Pearson correlation: 0.3160
  P-value: 1.7749e-58
  Number of samples: 2473

Common keys (2473):
  29. CMU_1:34_spelling (AskQE: 1.0000, Standard: 0.7053)
  30. CMU_1:34_synonym (AskQE: 1.0000, Standard: 0.6742)
  31. CMU_1:42_alteration (AskQE: 0.3384, Standard: 0.6170)
  32. CMU_1:42_expansion_impact (AskQE: 0.4550, Standard: 0.8422)
  33. CMU_1:42_expansion_noimpact (AskQE: 0.7556, Standard: 0.8962)
  34. CMU_1:42_spelling (AskQE: 0.6349, Standard: 0.7012)
  35. CMU_1:42_synonym (AskQE: 0.0513, Standard: 0.3628)
  36. CMU_1:48_alteration (AskQE: 0.0000, Standard: 0.7846)
  37. CMU_1:48_expansion_impact (AskQE: 0.0000, Standard: 0.8219)
  38. CMU_1:48_expansion_noimpact (AskQE: 0.0000, Standard: 0.8356)
  39. CMU_1:48_spelling (AskQE: 0.0000, Standard: 0.2804)
  40. CMU_1:48_synonym (AskQE: 0.0000, Standard: 0.4340)
  41. CMU_1:52_alteration (AskQE: 0.5000, Standard: 0.7911)
  42. CMU_1:52_expansion_impact (AskQE: 0.5000, Standard: 0.9167)
  43. CMU_1:52_expansion_noimpact (AskQE: 0.5000, Standard: 0.8958)
  44. CMU_1:52_spelling (AskQE: 1.0000, Standard: 0.9342)
  45. CMU_1:52_synonym (AskQE: 1.0000, Standard: 0.9342)
  46. CMU_1:59_alteration (AskQE: 0.5000, Standard: 0.8014)
  47. CMU_1:59_expansion_impact (AskQE: 0.7500, Standard: 0.8347)
  48. CMU_1:59_expansion_noimpact (AskQE: 0.7500, Standard: 0.8559)
  49. CMU_1:59_spelling (AskQE: 1.0000, Standard: 0.8462)
  50. CMU_1:59_synonym (AskQE: 1.0000, Standard: 0.8805)
  51. CMU_1:67_alteration (AskQE: 0.7083, Standard: 0.7965)
  52. CMU_1:67_expansion_impact (AskQE: 0.9486, Standard: 0.9211)
  53. CMU_1:67_expansion_noimpact (AskQE: 0.9092, Standard: 0.9248)
  54. CMU_1:67_spelling (AskQE: 1.0000, Standard: 0.9917)
  55. CMU_1:67_synonym (AskQE: 1.0000, Standard: 0.9917)
  56. CMU_1:68_alteration (AskQE: 0.3611, Standard: 0.7927)
  57. CMU_1:68_expansion_impact (AskQE: 0.6667, Standard: 0.8037)
  58. CMU_1:68_expansion_noimpact (AskQE: 0.4630, Standard: 0.8658)
  59. CMU_1:68_spelling (AskQE: 0.4630, Standard: 0.8604)
  60. CMU_1:68_synonym (AskQE: 0.5333, Standard: 0.8293)
  61. CMU_1:6_alteration (AskQE: 0.0000, Standard: 0.7489)
  62. CMU_1:6_expansion_impact (AskQE: 0.0000, Standard: 0.7540)
  63. CMU_1:6_expansion_noimpact (AskQE: 0.6667, Standard: 0.7798)
  64. CMU_1:6_spelling (AskQE: 1.0000, Standard: 0.7633)
  65. CMU_1:6_synonym (AskQE: 1.0000, Standard: 0.7886)
  66. CMU_1:75_alteration (AskQE: 0.1800, Standard: 0.8435)
  67. CMU_1:75_expansion_impact (AskQE: 0.2800, Standard: 0.8766)
  68. CMU_1:75_expansion_noimpact (AskQE: 0.5600, Standard: 0.9201)
  69. CMU_1:75_spelling (AskQE: 0.4800, Standard: 0.6019)
  70. CMU_1:75_synonym (AskQE: 0.4800, Standard: 0.8909)
  71. CMU_1:78_alteration (AskQE: 0.0000, Standard: 0.5045)
  72. CMU_1:78_expansion_impact (AskQE: 0.0000, Standard: 0.5045)
  73. CMU_1:78_expansion_noimpact (AskQE: 0.0000, Standard: 0.4499)
  74. CMU_1:78_spelling (AskQE: 0.0000, Standard: 0.4158)
  75. CMU_1:78_synonym (AskQE: 0.0000, Standard: 0.4699)
  76. CMU_1:88_alteration (AskQE: 0.3333, Standard: 0.7573)
  77. CMU_1:88_expansion_impact (AskQE: 0.1667, Standard: 0.6787)
  78. CMU_1:88_expansion_noimpact (AskQE: 0.4667, Standard: 0.8446)
  79. CMU_1:88_spelling (AskQE: 0.3000, Standard: 0.4452)
  80. CMU_1:88_synonym (AskQE: 0.0000, Standard: 0.8074)
  81. CMU_1:94_alteration (AskQE: 0.3386, Standard: 0.8943)
  82. CMU_1:94_expansion_impact (AskQE: 0.3905, Standard: 0.8552)
  83. CMU_1:94_expansion_noimpact (AskQE: 0.2667, Standard: 0.8932)
  84. CMU_1:94_spelling (AskQE: 0.8222, Standard: 0.6599)
  85. CMU_1:94_synonym (AskQE: 0.5079, Standard: 0.9691)
  86. PubMed_10:1000_alteration (AskQE: 0.4198, Standard: 0.8336)
  87. PubMed_10:1000_expansion_impact (AskQE: 0.5445, Standard: 0.8901)
  88. PubMed_10:1000_expansion_noimpact (AskQE: 0.5397, Standard: 0.9192)
  89. PubMed_10:1000_spelling (AskQE: 0.5665, Standard: 0.9293)
  90. PubMed_10:1000_synonym (AskQE: 0.3851, Standard: 0.9166)
  91. PubMed_10:1002_alteration (AskQE: 0.3889, Standard: 0.9056)
