Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: sbert (pipeline: vanilla)
Standard Metric: xcomet

Results:
  Pearson correlation: 0.2746
  P-value: 1.5641e-18
  Number of samples: 987

Common keys (987):
  31. CMU_1:88_alteration (AskQE: 0.5679, Standard: 0.6370)
  32. CMU_1:88_synonym (AskQE: 0.6998, Standard: 0.4640)
  33. CMU_1:94_alteration (AskQE: 0.6593, Standard: 0.7410)
  34. CMU_1:94_synonym (AskQE: 0.9694, Standard: 0.7360)
  35. PubMed_10:1000_alteration (AskQE: 0.7259, Standard: 0.6870)
  36. PubMed_10:1000_synonym (AskQE: 0.6724, Standard: 0.7430)
  37. PubMed_10:1002_alteration (AskQE: 0.5416, Standard: 0.5960)
  38. PubMed_10:1002_synonym (AskQE: 0.8426, Standard: 0.7470)
  39. PubMed_10:1003_alteration (AskQE: 0.8131, Standard: 0.7600)
  40. PubMed_10:1003_synonym (AskQE: 0.8155, Standard: 0.7870)
  41. PubMed_10:1004_alteration (AskQE: 0.4840, Standard: 0.7140)
  42. PubMed_10:1004_synonym (AskQE: 0.6477, Standard: 0.7440)
  43. PubMed_10:1007_alteration (AskQE: 0.8170, Standard: 0.7390)
  44. PubMed_10:1007_synonym (AskQE: 0.8545, Standard: 0.7850)
  45. PubMed_10:1009_alteration (AskQE: 0.6768, Standard: 0.6980)
  46. PubMed_10:1009_synonym (AskQE: 0.8456, Standard: 0.7450)
  47. PubMed_10:1012_alteration (AskQE: 0.8408, Standard: 0.6640)
  48. PubMed_10:1012_synonym (AskQE: 0.8556, Standard: 0.8110)
  49. PubMed_10:1015_alteration (AskQE: 1.0000, Standard: 0.5640)
  50. PubMed_10:1015_synonym (AskQE: 0.5583, Standard: 0.7040)
  51. PubMed_10:1024_alteration (AskQE: 0.8375, Standard: 0.8140)
  52. PubMed_10:1024_synonym (AskQE: 0.9498, Standard: 0.8270)
  53. PubMed_10:1025_alteration (AskQE: 0.8651, Standard: 0.6900)
  54. PubMed_10:1025_synonym (AskQE: 0.8358, Standard: 0.7380)
  55. PubMed_10:1027_alteration (AskQE: 0.5309, Standard: 0.6920)
  56. PubMed_10:1027_synonym (AskQE: 0.8392, Standard: 0.7180)
  57. PubMed_10:1029_alteration (AskQE: 0.4937, Standard: 0.6700)
