Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: sbert (pipeline: vanilla)
Standard Metric: bt_score

Results:
  Pearson correlation: 0.4133
  P-value: 5.2814e-42
  Number of samples: 987

Common keys (987):
  81. PubMed_10:858_alteration (AskQE: 0.6558, Standard: 0.9170)
  82. PubMed_10:858_synonym (AskQE: 0.5340, Standard: 0.9612)
  83. PubMed_10:860_alteration (AskQE: 0.6028, Standard: 0.9213)
  84. PubMed_10:860_synonym (AskQE: 0.9115, Standard: 0.9502)
  85. PubMed_10:862_alteration (AskQE: 0.7034, Standard: 0.8957)
  86. PubMed_10:862_synonym (AskQE: 1.0000, Standard: 0.9272)
  87. PubMed_10:864_alteration (AskQE: 0.5581, Standard: 0.8302)
  88. PubMed_10:864_synonym (AskQE: 0.6585, Standard: 0.8675)
  89. PubMed_10:868_alteration (AskQE: 0.6056, Standard: 0.8757)
  90. PubMed_10:868_synonym (AskQE: 0.5101, Standard: 0.8924)
  91. PubMed_10:873_alteration (AskQE: 0.9889, Standard: 0.9143)
  92. PubMed_10:873_synonym (AskQE: 0.9856, Standard: 0.9380)
  93. PubMed_10:875_alteration (AskQE: 0.7235, Standard: 0.9044)
  94. PubMed_10:875_synonym (AskQE: 0.7254, Standard: 0.9316)
  95. PubMed_10:879_alteration (AskQE: 0.9800, Standard: 0.9459)
  96. PubMed_10:879_synonym (AskQE: 0.9413, Standard: 0.9501)
  97. PubMed_10:880_alteration (AskQE: 0.7037, Standard: 0.8979)
  98. PubMed_10:880_synonym (AskQE: 0.8689, Standard: 0.9203)
  99. PubMed_10:882_alteration (AskQE: 0.8221, Standard: 0.8693)
  100. PubMed_10:882_synonym (AskQE: 0.9083, Standard: 0.9356)
  101. PubMed_10:883_alteration (AskQE: 0.2109, Standard: 0.8513)
  102. PubMed_10:883_synonym (AskQE: 0.4982, Standard: 0.9236)
  103. PubMed_10:886_alteration (AskQE: 0.5257, Standard: 0.9325)
  104. PubMed_10:886_synonym (AskQE: 0.8713, Standard: 0.9225)
  105. PubMed_10:887_alteration (AskQE: 0.6478, Standard: 0.8666)
  106. PubMed_10:887_synonym (AskQE: 0.6334, Standard: 0.8682)
  107. PubMed_10:888_alteration (AskQE: 0.6505, Standard: 0.8684)
  108. PubMed_10:888_synonym (AskQE: 0.7534, Standard: 0.8922)
  109. PubMed_10:889_alteration (AskQE: 0.8070, Standard: 0.9089)
  110. PubMed_10:889_synonym (AskQE: 0.9517, Standard: 0.9461)
  111. PubMed_10:890_alteration (AskQE: 0.9584, Standard: 0.8835)
  112. PubMed_10:890_synonym (AskQE: 0.9821, Standard: 0.9130)
