Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: em (pipeline: vanilla)
Standard Metric: bt_score

Results:
  Pearson correlation: 0.1659
  P-value: 1.0146e-16
  Number of samples: 2473

Common keys (2473):
  80. CMU_1:88_synonym (AskQE: 0.0000, Standard: 0.8074)
  81. CMU_1:94_alteration (AskQE: 0.0000, Standard: 0.8943)
  82. CMU_1:94_expansion_impact (AskQE: 0.0000, Standard: 0.8552)
  83. CMU_1:94_expansion_noimpact (AskQE: 0.0000, Standard: 0.8932)
  84. CMU_1:94_spelling (AskQE: 0.3333, Standard: 0.6599)
  85. CMU_1:94_synonym (AskQE: 0.0000, Standard: 0.9691)
  86. PubMed_10:1000_alteration (AskQE: 0.0000, Standard: 0.8336)
  87. PubMed_10:1000_expansion_impact (AskQE: 0.2500, Standard: 0.8901)
  88. PubMed_10:1000_expansion_noimpact (AskQE: 0.2500, Standard: 0.9192)
  89. PubMed_10:1000_spelling (AskQE: 0.2500, Standard: 0.9293)
  90. PubMed_10:1000_synonym (AskQE: 0.0000, Standard: 0.9166)
  91. PubMed_10:1002_alteration (AskQE: 0.0000, Standard: 0.9056)
  92. PubMed_10:1002_expansion_impact (AskQE: 0.0000, Standard: 0.8904)
  93. PubMed_10:1002_expansion_noimpact (AskQE: 0.0000, Standard: 0.9005)
  94. PubMed_10:1002_spelling (AskQE: 0.0000, Standard: 0.9510)
  95. PubMed_10:1002_synonym (AskQE: 0.0000, Standard: 0.9283)
  96. PubMed_10:1003_alteration (AskQE: 0.4286, Standard: 0.9006)
  97. PubMed_10:1003_expansion_impact (AskQE: 0.4286, Standard: 0.8948)
  98. PubMed_10:1003_expansion_noimpact (AskQE: 0.2857, Standard: 0.9321)
  99. PubMed_10:1003_spelling (AskQE: 0.5714, Standard: 0.9338)
  100. PubMed_10:1003_synonym (AskQE: 0.5714, Standard: 0.9324)
  101. PubMed_10:1004_alteration (AskQE: 0.0000, Standard: 0.8373)
  102. PubMed_10:1004_expansion_impact (AskQE: 0.0000, Standard: 0.8353)
  103. PubMed_10:1004_expansion_noimpact (AskQE: 0.2000, Standard: 0.8651)
  104. PubMed_10:1004_spelling (AskQE: 0.0000, Standard: 0.8652)
  105. PubMed_10:1004_synonym (AskQE: 0.0000, Standard: 0.8576)
  106. PubMed_10:1007_alteration (AskQE: 0.0000, Standard: 0.8352)
  107. PubMed_10:1007_expansion_impact (AskQE: 0.2000, Standard: 0.8727)
  108. PubMed_10:1007_expansion_noimpact (AskQE: 0.4000, Standard: 0.8846)
  109. PubMed_10:1007_spelling (AskQE: 0.4000, Standard: 0.8930)
  110. PubMed_10:1007_synonym (AskQE: 0.4000, Standard: 0.8960)
  111. PubMed_10:1009_alteration (AskQE: 0.0000, Standard: 0.8665)
  112. PubMed_10:1009_expansion_impact (AskQE: 0.3333, Standard: 0.9060)
  113. PubMed_10:1009_expansion_noimpact (AskQE: 0.0000, Standard: 0.8967)
  114. PubMed_10:1009_spelling (AskQE: 0.0000, Standard: 0.8994)
  115. PubMed_10:1009_synonym (AskQE: 0.3333, Standard: 0.8844)
  116. PubMed_10:1012_alteration (AskQE: 0.2500, Standard: 0.8674)
  117. PubMed_10:1012_expansion_impact (AskQE: 0.2500, Standard: 0.9260)
  118. PubMed_10:1012_expansion_noimpact (AskQE: 0.2500, Standard: 0.9717)
  119. PubMed_10:1012_spelling (AskQE: 0.2500, Standard: 0.9359)
  120. PubMed_10:1012_synonym (AskQE: 0.2500, Standard: 0.9416)
  121. PubMed_10:1015_alteration (AskQE: 1.0000, Standard: 0.8600)
  122. PubMed_10:1015_expansion_impact (AskQE: 0.0000, Standard: 0.8589)
  123. PubMed_10:1015_expansion_noimpact (AskQE: 0.5000, Standard: 0.8845)
  124. PubMed_10:1015_spelling (AskQE: 0.0000, Standard: 0.8886)
  125. PubMed_10:1015_synonym (AskQE: 0.0000, Standard: 0.9006)
  126. PubMed_10:1024_alteration (AskQE: 0.6000, Standard: 0.9742)
  127. PubMed_10:1024_expansion_impact (AskQE: 0.0000, Standard: 0.9328)
  128. PubMed_10:1024_expansion_noimpact (AskQE: 0.0000, Standard: 0.9623)
  129. PubMed_10:1024_spelling (AskQE: 0.0000, Standard: 0.6307)
