Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: chrf (pipeline: vanilla)
Standard Metric: bt_score

Results:
  Pearson correlation: 0.3186
  P-value: 1.8872e-59
  Number of samples: 2473

Common keys (2473):
  80. CMU_1:88_synonym (AskQE: 23.4253, Standard: 0.8074)
  81. CMU_1:94_alteration (AskQE: 25.9025, Standard: 0.8943)
  82. CMU_1:94_expansion_impact (AskQE: 37.1037, Standard: 0.8552)
  83. CMU_1:94_expansion_noimpact (AskQE: 23.8039, Standard: 0.8932)
  84. CMU_1:94_spelling (AskQE: 63.5268, Standard: 0.6599)
  85. CMU_1:94_synonym (AskQE: 60.4229, Standard: 0.9691)
  86. PubMed_10:1000_alteration (AskQE: 49.2845, Standard: 0.8336)
  87. PubMed_10:1000_expansion_impact (AskQE: 58.5508, Standard: 0.8901)
  88. PubMed_10:1000_expansion_noimpact (AskQE: 58.4420, Standard: 0.9192)
  89. PubMed_10:1000_spelling (AskQE: 58.6156, Standard: 0.9293)
  90. PubMed_10:1000_synonym (AskQE: 36.6845, Standard: 0.9166)
  91. PubMed_10:1002_alteration (AskQE: 50.2858, Standard: 0.9056)
  92. PubMed_10:1002_expansion_impact (AskQE: 45.7424, Standard: 0.8904)
  93. PubMed_10:1002_expansion_noimpact (AskQE: 57.6125, Standard: 0.9005)
  94. PubMed_10:1002_spelling (AskQE: 80.3170, Standard: 0.9510)
  95. PubMed_10:1002_synonym (AskQE: 61.0910, Standard: 0.9283)
  96. PubMed_10:1003_alteration (AskQE: 74.4141, Standard: 0.9006)
  97. PubMed_10:1003_expansion_impact (AskQE: 67.2524, Standard: 0.8948)
  98. PubMed_10:1003_expansion_noimpact (AskQE: 81.6854, Standard: 0.9321)
  99. PubMed_10:1003_spelling (AskQE: 83.8629, Standard: 0.9338)
  100. PubMed_10:1003_synonym (AskQE: 80.2242, Standard: 0.9324)
  101. PubMed_10:1004_alteration (AskQE: 36.5545, Standard: 0.8373)
  102. PubMed_10:1004_expansion_impact (AskQE: 37.2123, Standard: 0.8353)
  103. PubMed_10:1004_expansion_noimpact (AskQE: 56.2788, Standard: 0.8651)
  104. PubMed_10:1004_spelling (AskQE: 45.3503, Standard: 0.8652)
  105. PubMed_10:1004_synonym (AskQE: 50.0594, Standard: 0.8576)
  106. PubMed_10:1007_alteration (AskQE: 78.7721, Standard: 0.8352)
  107. PubMed_10:1007_expansion_impact (AskQE: 73.5057, Standard: 0.8727)
  108. PubMed_10:1007_expansion_noimpact (AskQE: 80.5163, Standard: 0.8846)
  109. PubMed_10:1007_spelling (AskQE: 83.1022, Standard: 0.8930)
  110. PubMed_10:1007_synonym (AskQE: 83.1022, Standard: 0.8960)
  111. PubMed_10:1009_alteration (AskQE: 36.6467, Standard: 0.8665)
  112. PubMed_10:1009_expansion_impact (AskQE: 64.0366, Standard: 0.9060)
  113. PubMed_10:1009_expansion_noimpact (AskQE: 36.4391, Standard: 0.8967)
  114. PubMed_10:1009_spelling (AskQE: 34.5669, Standard: 0.8994)
  115. PubMed_10:1009_synonym (AskQE: 61.9992, Standard: 0.8844)
  116. PubMed_10:1012_alteration (AskQE: 75.0486, Standard: 0.8674)
  117. PubMed_10:1012_expansion_impact (AskQE: 74.5939, Standard: 0.9260)
  118. PubMed_10:1012_expansion_noimpact (AskQE: 90.6299, Standard: 0.9717)
  119. PubMed_10:1012_spelling (AskQE: 72.6972, Standard: 0.9359)
  120. PubMed_10:1012_synonym (AskQE: 75.9158, Standard: 0.9416)
  121. PubMed_10:1015_alteration (AskQE: 100.0000, Standard: 0.8600)
  122. PubMed_10:1015_expansion_impact (AskQE: 61.0194, Standard: 0.8589)
  123. PubMed_10:1015_expansion_noimpact (AskQE: 68.6224, Standard: 0.8845)
