Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: bleu (pipeline: vanilla)
Standard Metric: bt_score

Results:
  Pearson correlation: 0.3728
  P-value: 6.6055e-34
  Number of samples: 987

Common keys (987):
  81. PubMed_10:858_alteration (AskQE: 32.0729, Standard: 0.9170)
  82. PubMed_10:858_synonym (AskQE: 38.3940, Standard: 0.9612)
  83. PubMed_10:860_alteration (AskQE: 20.9635, Standard: 0.9213)
  84. PubMed_10:860_synonym (AskQE: 61.9390, Standard: 0.9502)
  85. PubMed_10:862_alteration (AskQE: 66.6667, Standard: 0.8957)
  86. PubMed_10:862_synonym (AskQE: 100.0000, Standard: 0.9272)
  87. PubMed_10:864_alteration (AskQE: 50.0000, Standard: 0.8302)
  88. PubMed_10:864_synonym (AskQE: 53.2836, Standard: 0.8675)
  89. PubMed_10:868_alteration (AskQE: 17.5265, Standard: 0.8757)
  90. PubMed_10:868_synonym (AskQE: 16.2212, Standard: 0.8924)
  91. PubMed_10:873_alteration (AskQE: 64.1160, Standard: 0.9143)
  92. PubMed_10:873_synonym (AskQE: 58.4466, Standard: 0.9380)
  93. PubMed_10:875_alteration (AskQE: 14.5772, Standard: 0.9044)
  94. PubMed_10:875_synonym (AskQE: 17.7078, Standard: 0.9316)
  95. PubMed_10:879_alteration (AskQE: 59.1032, Standard: 0.9459)
  96. PubMed_10:879_synonym (AskQE: 55.1679, Standard: 0.9501)
  97. PubMed_10:880_alteration (AskQE: 40.3706, Standard: 0.8979)
  98. PubMed_10:880_synonym (AskQE: 73.0590, Standard: 0.9203)
  99. PubMed_10:882_alteration (AskQE: 70.7998, Standard: 0.8693)
  100. PubMed_10:882_synonym (AskQE: 61.0496, Standard: 0.9356)
  101. PubMed_10:883_alteration (AskQE: 15.0014, Standard: 0.8513)
  102. PubMed_10:883_synonym (AskQE: 21.5398, Standard: 0.9236)
  103. PubMed_10:886_alteration (AskQE: 9.2403, Standard: 0.9325)
  104. PubMed_10:886_synonym (AskQE: 36.3651, Standard: 0.9225)
  105. PubMed_10:887_alteration (AskQE: 40.6155, Standard: 0.8666)
  106. PubMed_10:887_synonym (AskQE: 40.0992, Standard: 0.8682)
  107. PubMed_10:888_alteration (AskQE: 28.0847, Standard: 0.8684)
  108. PubMed_10:888_synonym (AskQE: 54.6222, Standard: 0.8922)
  109. PubMed_10:889_alteration (AskQE: 30.5865, Standard: 0.9089)
  110. PubMed_10:889_synonym (AskQE: 65.1663, Standard: 0.9461)
  111. PubMed_10:890_alteration (AskQE: 74.4626, Standard: 0.8835)
  112. PubMed_10:890_synonym (AskQE: 84.4626, Standard: 0.9130)
  113. PubMed_10:892_alteration (AskQE: 24.9115, Standard: 0.8998)
  114. PubMed_10:892_synonym (AskQE: 29.7850, Standard: 0.9244)
  115. PubMed_10:894_alteration (AskQE: 31.7943, Standard: 0.8716)
  116. PubMed_10:894_synonym (AskQE: 52.4001, Standard: 0.9083)
  117. PubMed_10:899_alteration (AskQE: 26.4997, Standard: 0.9666)
  118. PubMed_10:899_synonym (AskQE: 45.4045, Standard: 0.9914)
  119. PubMed_10:900_alteration (AskQE: 2.4894, Standard: 0.8177)
  120. PubMed_10:900_synonym (AskQE: 37.6850, Standard: 0.9664)
  121. PubMed_10:901_alteration (AskQE: 29.6202, Standard: 0.8572)
  122. PubMed_10:901_synonym (AskQE: 14.0369, Standard: 0.8858)
  123. PubMed_10:903_alteration (AskQE: 50.7734, Standard: 0.9592)
  124. PubMed_10:903_synonym (AskQE: 47.3044, Standard: 0.9557)
  125. PubMed_10:905_alteration (AskQE: 0.0000, Standard: 0.7967)
  126. PubMed_10:905_synonym (AskQE: 50.0000, Standard: 0.8980)
  127. PubMed_10:906_alteration (AskQE: 18.1979, Standard: 0.8538)
  128. PubMed_10:906_synonym (AskQE: 25.6417, Standard: 0.9091)
  129. PubMed_10:907_alteration (AskQE: 27.7891, Standard: 0.9189)
  130. PubMed_10:907_synonym (AskQE: 100.0000, Standard: 0.9752)
  131. PubMed_10:908_alteration (AskQE: 33.3333, Standard: 0.7135)
  132. PubMed_10:908_synonym (AskQE: 50.0000, Standard: 0.7753)
  133. PubMed_10:909_alteration (AskQE: 30.0245, Standard: 0.7964)
  134. PubMed_10:909_synonym (AskQE: 84.1389, Standard: 0.9427)
  135. PubMed_10:911_alteration (AskQE: 53.0640, Standard: 0.8644)
  136. PubMed_10:911_synonym (AskQE: 8.4997, Standard: 0.8927)
  137. PubMed_10:913_alteration (AskQE: 54.8475, Standard: 0.9553)
  138. PubMed_10:913_synonym (AskQE: 59.0835, Standard: 0.9481)
  139. PubMed_10:915_alteration (AskQE: 18.7468, Standard: 0.9143)
  140. PubMed_10:915_synonym (AskQE: 35.7410, Standard: 0.9605)
  141. PubMed_10:918_alteration (AskQE: 43.0603, Standard: 0.8453)
  142. PubMed_10:918_synonym (AskQE: 55.0121, Standard: 0.9574)
  143. PubMed_10:919_alteration (AskQE: 42.9603, Standard: 0.9337)
  144. PubMed_10:919_synonym (AskQE: 54.9201, Standard: 0.9604)
  145. PubMed_10:922_alteration (AskQE: 25.4635, Standard: 0.9555)
  146. PubMed_10:922_synonym (AskQE: 82.9641, Standard: 0.9713)
  147. PubMed_10:923_alteration (AskQE: 0.0000, Standard: 0.8930)
  148. PubMed_10:923_synonym (AskQE: 100.0000, Standard: 0.9907)
  149. PubMed_10:926_alteration (AskQE: 5.4111, Standard: 0.9106)
  150. PubMed_10:926_synonym (AskQE: 16.0501, Standard: 0.9505)
  151. PubMed_10:927_alteration (AskQE: 9.6885, Standard: 0.7884)
  152. PubMed_10:927_synonym (AskQE: 100.0000, Standard: 1.0000)
  153. PubMed_10:928_alteration (AskQE: 0.0000, Standard: 0.9212)
  154. PubMed_10:928_synonym (AskQE: 100.0000, Standard: 0.9527)
  155. PubMed_10:930_alteration (AskQE: 50.0000, Standard: 0.9126)
  156. PubMed_10:930_synonym (AskQE: 63.7580, Standard: 0.9146)
  157. PubMed_10:934_alteration (AskQE: 11.9551, Standard: 0.8411)
  158. PubMed_10:934_synonym (AskQE: 20.2610, Standard: 0.8555)
  159. PubMed_10:937_alteration (AskQE: 37.5000, Standard: 0.8811)
  160. PubMed_10:937_synonym (AskQE: 62.5000, Standard: 0.9461)
  161. PubMed_10:938_alteration (AskQE: 42.3637, Standard: 0.8919)
  162. PubMed_10:938_synonym (AskQE: 46.7102, Standard: 0.8974)
  163. PubMed_10:941_alteration (AskQE: 57.3081, Standard: 0.8593)
  164. PubMed_10:941_synonym (AskQE: 55.4642, Standard: 0.8937)
  165. PubMed_10:943_alteration (AskQE: 4.0583, Standard: 0.8780)
  166. PubMed_10:943_synonym (AskQE: 22.3874, Standard: 0.8577)
  167. PubMed_10:951_alteration (AskQE: 44.8169, Standard: 0.9430)
  168. PubMed_10:951_synonym (AskQE: 46.6384, Standard: 0.9435)
